,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
25,Bredasdorp,51%,ZA,2019-07-11,87%,-34.53°,20.04°,57.2°F,6.93 mph
26,Port-Gentil,20%,GA,2019-07-11,88%,-0.72°,8.78°,77.0°F,5.82 mph
27,Vao,37%,EE,2019-07-11,79%,59.1°,26.19°,45.41°F,3.04 mph
28,Mandalgovi,99%,MN,2019-07-11,39%,45.76°,106.27°,72.41°F,12.68 mph
29,Fujin,38%,CN,2019-07-11,68%,47.24°,132.03°,71.33°F,3.83 mph
30,Puerto Ayora,20%,EC,2019-07-11,57%,-0.74°,-90.35°,80.6°F,16.11 mph
31,Lismore,0%,AU,2019-07-11,87%,-28.81°,153.28°,62.01°F,6.93 mph
32,Kosh-Agach,100%,RU,2019-07-11,86%,49.99°,88.66°,47.03°F,0.85 mph
33,Port Elizabeth,90%,US,2019-07-11,88%,39.31°,-74.98°,82.99°F,19.46 mph
34,Harer,1%,US,2019-07-11,18%,42.19°,-111.17°,93.99°F,10.29 mph
35,Baherden,0%,TM,2019-07-11,27%,38.44°,57.43°,79.07°F,5.03 mph
36,Vestmannaeyjar,100%,IS,2019-07-11,90%,63.44°,-20.27°,53.33°F,10.58 mph
37,Hay River,75%,CA,2019-07-11,30%,60.82°,-115.79°,80.6°F,10.29 mph
38,Arman,0%,RU,2019-07-11,50%,59.7°,150.17°,74.93°F,5.57 mph
39,Graham,40%,US,2019-07-11,59%,33.11°,-98.59°,91.4°F,9.17 mph
40,Guozhen,100%,CN,2019-07-11,97%,29.3°,113.14°,72.59°F,9.31 mph
41,Laguna,40%,BZ,2019-07-11,66%,16.17°,-88.94°,89.6°F,6.93 mph
42,Toktogul,45%,KG,2019-07-11,45%,41.87°,72.95°,57.65°F,7.23 mph
43,Omboue,100%,GA,2019-07-11,90%,-1.57°,9.26°,73.31°F,7.43 mph
44,Bilibino,47%,RU,2019-07-11,27%,68.06°,166.44°,79.43°F,10.54 mph
45,Tiksi,99%,RU,2019-07-11,76%,71.64°,128.87°,47.75°F,19.06 mph
46,Tura,100%,RU,2019-07-11,80%,64.27°,100.22°,56.57°F,12.03 mph
47,Lompoc,75%,US,2019-07-11,82%,34.64°,-120.46°,87.8°F,11.41 mph
48,Melfi,75%,IT,2019-07-11,88%,41.0°,15.66°,64.4°F,5.82 mph
49,Hammerfest,0%,NO,2019-07-11,70%,70.66°,23.68°,48.2°F,3.36 mph
50,Vardo,1%,US,2019-07-11,88%,39.62°,-77.74°,75.2°F,4.7 mph
51,Kapaa,75%,US,2019-07-11,74%,22.08°,-159.32°,84.2°F,11.41 mph
52,Iskateley,100%,RU,2019-07-11,85%,67.68°,53.15°,47.57°F,11.48 mph
53,Nalut,0%,LY,2019-07-11,63%,31.86°,10.98°,76.37°F,4.85 mph
54,Vaini,98%,IN,2019-07-11,92%,15.34°,74.49°,76.19°F,1.86 mph
55,Waihi Beach,100%,NZ,2019-07-11,92%,-37.4°,175.93°,55.99°F,7.43 mph
56,Renfrew,28%,CA,2019-07-11,92%,45.47°,-76.68°,70.0°F,4.85 mph
57,Villa Carlos Paz,89%,AR,2019-07-11,72%,-31.42°,-64.5°,62.6°F,3.36 mph
58,San Matias,0%,BO,2019-07-11,38%,-16.36°,-58.4°,77.09°F,7.05 mph
59,Rawson,0%,AR,2019-07-11,53%,-43.3°,-65.11°,45.41°F,4.61 mph
60,Carnarvon,0%,ZA,2019-07-11,31%,-30.97°,22.13°,48.83°F,6.13 mph
61,Yatou,75%,CM,2019-07-11,100%,3.63°,9.81°,75.2°F,2.24 mph
62,Albany,90%,US,2019-07-11,83%,42.65°,-73.75°,80.6°F,5.82 mph
63,Te Anau,100%,NZ,2019-07-11,94%,-45.41°,167.72°,41.45°F,1.43 mph
64,East London,0%,ZA,2019-07-11,76%,-33.02°,27.91°,54.59°F,9.31 mph
65,Kolosovka,100%,RU,2019-07-11,85%,56.47°,73.61°,60.71°F,9.24 mph
66,Flinders,40%,AU,2019-07-11,54%,-34.58°,150.85°,61.0°F,6.93 mph
67,Nikolskoye,0%,RU,2019-07-11,75%,59.7°,30.79°,44.6°F,2.24 mph
68,Bluff,0%,AU,2019-07-11,37%,-23.58°,149.07°,67.55°F,2.91 mph
69,Hithadhoo,21%,MV,2019-07-11,73%,-0.6°,73.08°,84.11°F,10.78 mph
70,Bathsheba,75%,BB,2019-07-11,74%,13.22°,-59.52°,82.4°F,16.11 mph
71,Ilulissat,40%,GL,2019-07-11,75%,69.22°,-51.1°,46.4°F,5.82 mph
72,Upernavik,16%,GL,2019-07-11,86%,72.79°,-56.15°,45.05°F,7.49 mph
73,Fairbanks,90%,US,2019-07-11,39%,64.84°,-147.72°,81.0°F,9.17 mph
74,Lorengau,68%,PG,2019-07-11,74%,-2.02°,147.27°,81.59°F,16.91 mph
75,Saint George,40%,GR,2019-07-11,77%,39.45°,22.34°,68.0°F,1.97 mph
76,Broken Hill,1%,AU,2019-07-11,71%,-31.97°,141.45°,50.0°F,13.87 mph
77,Sakharovo,97%,RU,2019-07-11,80%,56.9°,36.05°,45.95°F,2.95 mph
78,Tasiilaq,11%,GL,2019-07-11,72%,65.61°,-37.64°,35.33°F,3.62 mph
79,Baker City,40%,US,2019-07-11,35%,44.77°,-117.83°,87.8°F,10.29 mph
80,La Ronge,75%,CA,2019-07-11,72%,55.1°,-105.3°,64.4°F,2.24 mph
81,Tambo,0%,PE,2019-07-11,11%,-12.95°,-74.02°,68.0°F,2.24 mph
82,Geraldton,40%,CA,2019-07-11,49%,49.72°,-86.95°,73.4°F,3.36 mph
83,Jilib,43%,SO,2019-07-11,95%,0.49°,42.79°,72.23°F,3.78 mph
84,Georgetown,40%,GY,2019-07-11,78%,6.8°,-58.16°,82.4°F,4.7 mph
85,Mataura,100%,NZ,2019-07-11,80%,-46.19°,168.86°,46.0°F,4.0 mph
86,Yilan,100%,CN,2019-07-11,97%,43.11°,129.52°,59.63°F,2.57 mph
87,Wonthaggi,100%,AU,2019-07-11,91%,-38.6°,145.59°,54.0°F,21.3 mph
88,Tecoanapa,40%,MX,2019-07-11,70%,16.99°,-99.26°,87.8°F,8.05 mph
89,Butaritari,33%,KI,2019-07-11,76%,3.07°,172.79°,84.47°F,12.03 mph
90,Salalah,90%,OM,2019-07-11,94%,17.01°,54.1°,80.6°F,6.93 mph
91,Cabo San Lucas,5%,MX,2019-07-11,55%,22.89°,-109.91°,98.01°F,6.93 mph
92,Lata,57%,IN,2019-07-11,89%,30.78°,78.62°,44.69°F,1.86 mph
93,Dikson,78%,RU,2019-07-11,94%,73.51°,80.55°,34.43°F,10.27 mph
94,Paamiut,48%,GL,2019-07-11,90%,61.99°,-49.67°,43.07°F,7.09 mph
95,Yalova,20%,TR,2019-07-11,77%,40.66°,29.27°,64.4°F,3.36 mph
96,Baykit,0%,RU,2019-07-11,53%,61.68°,96.39°,56.39°F,8.41 mph
97,Samfya,3%,ZM,2019-07-11,68%,-11.37°,29.56°,49.01°F,3.49 mph
98,Tondano,40%,ID,2019-07-11,83%,1.3°,124.91°,77.0°F,2.24 mph
99,Cidreira,85%,BR,2019-07-11,76%,-30.17°,-50.22°,60.71°F,8.03 mph
100,Marfino,75%,RU,2019-07-11,93%,56.07°,37.56°,53.6°F,8.95 mph
101,Bethel,90%,US,2019-07-11,77%,60.79°,-161.76°,69.8°F,4.7 mph
102,Loreto,21%,PY,2019-07-11,50%,-23.27°,-57.32°,74.03°F,7.87 mph
103,Constitucion,75%,MX,2019-07-11,43%,23.99°,-104.67°,77.0°F,12.75 mph
104,Portland,90%,US,2019-07-11,93%,43.66°,-70.25°,70.0°F,5.82 mph
105,Ngunguru,100%,NZ,2019-07-11,96%,-35.62°,174.5°,57.99°F,11.01 mph
106,Cape Town,75%,ZA,2019-07-11,100%,-33.93°,18.42°,59.0°F,11.41 mph
107,Isangel,75%,VU,2019-07-11,78%,-19.55°,169.27°,77.0°F,3.36 mph
108,Macusani,0%,PE,2019-07-11,68%,-14.07°,-70.43°,30.47°F,1.77 mph
109,Gat,64%,SN,2019-07-11,78%,14.69°,-16.54°,75.2°F,6.93 mph
110,Altay,80%,CN,2019-07-11,71%,47.83°,88.13°,52.25°F,3.8 mph
111,Hilo,1%,US,2019-07-11,54%,19.71°,-155.08°,84.2°F,8.05 mph
112,Moose Factory,1%,CA,2019-07-11,51%,51.26°,-80.61°,62.6°F,12.75 mph
113,Nizhniy Ingash,58%,RU,2019-07-11,65%,56.2°,96.53°,61.43°F,3.65 mph
114,San Cristobal,46%,HN,2019-07-11,68%,14.68°,-86.92°,73.67°F,9.69 mph
115,Dingle,69%,PH,2019-07-11,83%,11.0°,122.67°,79.97°F,3.31 mph
116,Buta,100%,CD,2019-07-11,98%,2.79°,24.73°,68.45°F,0.4 mph
117,Verkhnyaya Toyma,11%,RU,2019-07-11,97%,62.24°,45.0°,36.41°F,2.1 mph
118,Saint-Philippe,90%,CA,2019-07-11,100%,45.36°,-73.48°,80.6°F,3.36 mph
119,Avarua,5%,CK,2019-07-11,76%,-21.21°,-159.78°,73.31°F,2.82 mph
120,Huanren,68%,CN,2019-07-11,81%,41.26°,125.37°,69.17°F,1.07 mph
121,Nipawin,75%,CA,2019-07-11,82%,53.36°,-104.02°,66.2°F,3.36 mph
122,Tigil,40%,RU,2019-07-11,55%,57.8°,158.67°,71.15°F,4.41 mph
123,Samarai,99%,PG,2019-07-11,71%,-10.62°,150.67°,74.93°F,10.63 mph
124,Gunjur,40%,GM,2019-07-11,78%,13.18°,-16.76°,80.6°F,3.36 mph
125,Ribeira Grande,0%,PT,2019-07-11,82%,38.52°,-28.7°,71.15°F,3.49 mph
126,Terrace,90%,CA,2019-07-11,77%,54.52°,-128.61°,66.0°F,2.24 mph
127,Los Llanos de Aridane,5%,ES,2019-07-11,68%,28.66°,-17.92°,71.6°F,9.17 mph
128,Neuenkirch,75%,CH,2019-07-11,82%,47.1°,8.2°,62.01°F,4.72 mph
129,Rocha,100%,UY,2019-07-11,94%,-34.48°,-54.34°,55.31°F,7.49 mph
130,Kaseda,75%,JP,2019-07-11,94%,31.42°,130.32°,71.6°F,4.7 mph
131,Zhigansk,88%,RU,2019-07-11,38%,66.77°,123.37°,80.69°F,10.78 mph
132,Port Macquarie,0%,AU,2019-07-11,66%,-31.43°,152.91°,64.0°F,5.82 mph
133,Belyy Yar,0%,RU,2019-07-11,82%,53.6°,91.39°,59.0°F,6.71 mph
134,Thunder Bay,75%,CA,2019-07-11,53%,48.41°,-89.26°,77.0°F,10.29 mph
135,Katsuura,90%,JP,2019-07-11,94%,33.93°,134.5°,77.0°F,4.7 mph
136,Namibe,44%,AO,2019-07-11,84%,-15.19°,12.15°,64.67°F,12.86 mph
137,Klaksvik,28%,FO,2019-07-11,100%,62.23°,-6.59°,50.0°F,10.29 mph
138,Leningradskiy,3%,RU,2019-07-11,67%,69.38°,178.42°,51.89°F,10.16 mph
139,Srednekolymsk,9%,RU,2019-07-11,31%,67.46°,153.71°,85.55°F,8.14 mph
140,Port-Cartier,90%,CA,2019-07-11,71%,50.03°,-66.88°,57.99°F,12.75 mph
141,Carlow,75%,IE,2019-07-11,87%,52.84°,-6.93°,62.01°F,9.17 mph
142,Victoria,75%,BN,2019-07-11,88%,5.28°,115.24°,78.8°F,2.24 mph
143,Erenhot,10%,CN,2019-07-11,31%,43.65°,111.97°,77.81°F,3.33 mph
144,Ruteng,37%,ID,2019-07-11,67%,-8.61°,120.46°,73.67°F,4.16 mph
145,Mount Isa,87%,AU,2019-07-11,33%,-20.73°,139.49°,59.0°F,6.93 mph
146,Springfield,40%,US,2019-07-11,69%,42.1°,-72.59°,78.01°F,12.75 mph
147,Zhoucun,100%,CN,2019-07-11,65%,35.48°,112.62°,73.67°F,0.96 mph
148,Tallahassee,1%,US,2019-07-11,88%,30.44°,-84.28°,88.0°F,3.36 mph
149,Batagay-Alyta,100%,RU,2019-07-11,49%,67.8°,130.41°,67.01°F,4.88 mph
150,Biltine,100%,TD,2019-07-11,58%,14.53°,20.93°,82.49°F,14.25 mph
151,Maumere,22%,ID,2019-07-11,70%,-8.63°,122.22°,75.83°F,3.13 mph
152,Nouakchott,0%,MR,2019-07-11,83%,18.08°,-15.98°,75.2°F,11.41 mph
153,Wagar,86%,US,2019-07-11,68%,31.44°,-87.99°,91.0°F,3.0 mph
154,Tuktoyaktuk,90%,CA,2019-07-11,86%,69.44°,-133.03°,39.2°F,16.11 mph
155,Darhan,5%,MN,2019-07-11,78%,49.49°,105.92°,66.11°F,9.98 mph
156,Ahipara,100%,NZ,2019-07-11,84%,-35.17°,173.16°,60.53°F,21.61 mph
157,Coahuayana,96%,MX,2019-07-11,82%,18.62°,-100.35°,81.95°F,2.24 mph
158,Loa Janan,24%,ID,2019-07-11,94%,-0.58°,117.09°,75.83°F,4.12 mph
159,Kokoda,90%,PG,2019-07-11,51%,-8.88°,147.74°,65.39°F,4.25 mph
160,Churapcha,12%,RU,2019-07-11,53%,62.0°,132.43°,80.87°F,2.04 mph
161,Beyneu,0%,KZ,2019-07-11,27%,45.32°,55.19°,86.63°F,12.77 mph
162,Ampanihy,0%,MG,2019-07-11,89%,-24.69°,44.75°,59.09°F,3.56 mph
163,Marawi,91%,PH,2019-07-11,84%,8.0°,124.29°,75.99°F,7.0 mph
164,Arraial do Cabo,0%,BR,2019-07-11,93%,-22.97°,-42.02°,62.6°F,5.82 mph
165,Lavrentiya,7%,RU,2019-07-11,33%,65.58°,-170.99°,73.67°F,8.7 mph
166,Viedma,100%,AR,2019-07-11,73%,-40.81°,-62.99°,48.65°F,2.66 mph
167,Aguas Formosas,1%,BR,2019-07-11,96%,-17.08°,-40.94°,60.35°F,1.45 mph
168,Dalianwan,0%,CN,2019-07-11,78%,39.03°,121.69°,84.0°F,2.24 mph
169,Grindavik,90%,IS,2019-07-11,93%,63.84°,-22.43°,55.4°F,4.7 mph
170,Ulety,66%,RU,2019-07-11,75%,51.36°,112.48°,65.75°F,2.17 mph
171,Elban,99%,RU,2019-07-11,98%,50.1°,136.51°,65.75°F,6.29 mph
172,Severo-Kurilsk,97%,RU,2019-07-11,96%,50.68°,156.12°,43.25°F,7.92 mph
173,Tigard,75%,US,2019-07-11,44%,45.43°,-122.77°,81.0°F,8.05 mph
174,Vidim,0%,CZ,2019-07-11,63%,50.47°,14.53°,66.2°F,9.17 mph
175,Touros,40%,BR,2019-07-11,88%,-5.2°,-35.46°,75.2°F,3.36 mph
176,Clyde River,90%,CA,2019-07-11,81%,70.47°,-68.59°,50.0°F,19.46 mph
177,Bambous Virieux,20%,MU,2019-07-11,88%,-20.34°,57.76°,68.0°F,4.7 mph
178,Mahebourg,20%,MU,2019-07-11,88%,-20.41°,57.7°,68.0°F,4.7 mph
179,Pevek,50%,RU,2019-07-11,73%,69.7°,170.27°,47.39°F,5.08 mph
180,Dunedin,97%,NZ,2019-07-11,87%,-45.87°,170.5°,48.0°F,21.99 mph
181,Husavik,87%,CA,2019-07-11,44%,50.56°,-96.99°,84.0°F,8.01 mph
182,Mitu,0%,IR,2019-07-11,24%,36.2°,46.09°,63.59°F,3.71 mph
183,Pudozh,19%,RU,2019-07-11,98%,61.81°,36.54°,36.23°F,2.95 mph
184,Yinchuan,93%,CN,2019-07-11,33%,38.48°,106.21°,78.01°F,1.99 mph
185,Alihe,78%,CN,2019-07-11,50%,50.57°,123.73°,74.03°F,2.95 mph
186,Kaitangata,100%,NZ,2019-07-11,75%,-46.28°,169.85°,46.0°F,4.59 mph
187,Westport,75%,US,2019-07-11,94%,41.14°,-73.36°,77.0°F,5.82 mph
188,Alugan,65%,PH,2019-07-11,89%,12.22°,125.48°,77.63°F,2.48 mph
189,Chara,40%,GR,2019-07-11,77%,39.42°,22.43°,68.0°F,1.97 mph
190,Kodiak,20%,US,2019-07-11,48%,39.95°,-94.76°,86.0°F,10.29 mph
191,Qaanaaq,0%,GL,2019-07-11,48%,77.48°,-69.36°,46.67°F,7.92 mph
192,Airai,0%,TL,2019-07-11,59%,-8.93°,125.41°,75.47°F,1.19 mph
193,Peterhead,75%,AU,2019-07-11,76%,-34.83°,138.5°,57.99°F,17.22 mph
194,Ballachulish,64%,GB,2019-07-11,94%,56.68°,-5.13°,57.99°F,1.43 mph
195,Yarmouth,90%,CA,2019-07-11,67%,43.84°,-66.12°,64.0°F,10.29 mph
196,Kisangani,100%,CD,2019-07-11,98%,0.52°,25.21°,69.71°F,2.64 mph
197,Aldan,1%,RU,2019-07-11,69%,58.61°,125.39°,71.87°F,3.89 mph
198,Kattivakkam,40%,IN,2019-07-11,79%,13.22°,80.32°,84.2°F,6.93 mph
199,Brownsville,1%,US,2019-07-11,56%,25.91°,-97.49°,95.0°F,11.41 mph
200,Russell,1%,US,2019-07-11,35%,38.9°,-98.86°,91.0°F,8.55 mph
201,Vila Velha,40%,BR,2019-07-11,78%,-3.71°,-38.6°,79.0°F,8.05 mph
202,Kruisfontein,36%,ZA,2019-07-11,82%,-34.0°,24.73°,54.95°F,15.03 mph
203,Hermanus,100%,ZA,2019-07-11,97%,-34.42°,19.24°,55.0°F,12.88 mph
204,Esperance,75%,AU,2019-07-11,100%,-33.86°,121.89°,51.8°F,8.05 mph
205,Kenai,90%,US,2019-07-11,77%,60.55°,-151.26°,64.0°F,4.7 mph
206,Fort Morgan,1%,US,2019-07-11,14%,40.25°,-103.8°,100.4°F,7.16 mph
207,Provideniya,75%,RU,2019-07-11,82%,64.42°,-173.23°,55.4°F,11.18 mph
208,Sobolevo,100%,RU,2019-07-11,85%,54.43°,31.9°,49.91°F,6.17 mph
209,Kumluca,0%,TR,2019-07-11,65%,36.37°,30.29°,60.71°F,5.95 mph
210,Champua,88%,IN,2019-07-11,88%,22.04°,85.66°,75.65°F,6.73 mph
211,Buin,29%,CL,2019-07-11,71%,-33.73°,-70.74°,53.6°F,5.82 mph
212,Solnechnyy,100%,RU,2019-07-11,98%,50.72°,136.64°,59.63°F,3.24 mph
213,Blagoyevo,0%,RU,2019-07-11,96%,63.37°,47.92°,37.13°F,4.34 mph
214,Weligama,84%,LK,2019-07-11,78%,5.97°,80.42°,82.85°F,12.48 mph
215,Johor Bahru,75%,MY,2019-07-11,83%,1.5°,103.76°,82.4°F,8.05 mph
216,Port Blair,100%,IN,2019-07-11,81%,11.67°,92.75°,82.49°F,13.35 mph
217,Kjollefjord,0%,NO,2019-07-11,69%,70.95°,27.35°,45.59°F,7.61 mph
218,Krasnoshchekovo,0%,RU,2019-07-11,83%,51.67°,82.73°,58.01°F,12.46 mph
219,Alyangula,100%,AU,2019-07-11,100%,-13.85°,136.42°,68.0°F,16.44 mph
220,Mayumba,100%,GA,2019-07-11,92%,-3.44°,10.65°,72.41°F,7.65 mph
221,Marzuq,94%,YE,2019-07-11,35%,14.4°,46.47°,80.51°F,12.26 mph
222,Hofn,98%,IS,2019-07-11,96%,64.25°,-15.21°,40.73°F,4.76 mph
223,Narsaq,20%,GL,2019-07-11,58%,60.91°,-46.05°,53.6°F,8.05 mph
224,Safford,1%,US,2019-07-11,6%,32.83°,-109.71°,107.6°F,9.17 mph
225,Bukama,15%,CD,2019-07-11,37%,-9.2°,25.85°,65.39°F,2.84 mph
226,Gaogou,100%,CN,2019-07-11,81%,31.12°,117.94°,76.19°F,2.53 mph
227,Kununurra,64%,AU,2019-07-11,55%,-15.77°,128.74°,66.2°F,6.93 mph
228,Berezna,0%,UA,2019-07-11,93%,51.58°,31.79°,52.07°F,4.65 mph
229,Maloy,33%,ID,2019-07-11,87%,1.0°,118.1°,77.27°F,2.19 mph
230,Timra,97%,SE,2019-07-11,87%,62.49°,17.33°,57.0°F,3.36 mph
231,Longyearbyen,75%,NO,2019-07-11,81%,78.22°,15.63°,42.8°F,14.99 mph
232,Don Sak,20%,TH,2019-07-11,88%,9.32°,99.69°,80.6°F,6.46 mph
233,Barrow,100%,AR,2019-07-11,81%,-38.31°,-60.23°,49.55°F,4.14 mph
234,Mehamn,0%,NO,2019-07-11,72%,71.03°,27.85°,42.89°F,6.44 mph
235,Talnakh,0%,RU,2019-07-11,71%,69.49°,88.39°,53.6°F,8.95 mph
236,Sumkino,57%,RU,2019-07-11,94%,58.11°,68.32°,61.61°F,2.8 mph
237,Gusau,88%,NG,2019-07-11,80%,12.17°,6.66°,74.03°F,15.26 mph
238,Muros,75%,ES,2019-07-11,100%,42.77°,-9.06°,70.0°F,2.24 mph
239,Krasnoye,75%,RU,2019-07-11,100%,44.87°,39.46°,62.01°F,6.71 mph
240,Saskylakh,100%,RU,2019-07-11,72%,71.97°,114.09°,56.21°F,15.03 mph
241,Wodonga,90%,AU,2019-07-11,87%,-36.12°,146.89°,51.8°F,11.41 mph
242,Bo Phloi,100%,TH,2019-07-11,84%,14.32°,99.52°,76.01°F,2.95 mph
243,Labuhan,2%,ID,2019-07-11,85%,-2.54°,115.51°,75.65°F,0.85 mph
244,Basqal,0%,AZ,2019-07-11,73%,40.75°,48.39°,73.4°F,3.36 mph
245,Vozhega,4%,RU,2019-07-11,96%,60.47°,40.21°,36.59°F,2.35 mph
246,Manjeshwar,40%,IN,2019-07-11,88%,12.72°,74.89°,75.2°F,9.53 mph
247,Sao Joao da Barra,0%,BR,2019-07-11,77%,-21.64°,-41.05°,69.8°F,4.7 mph
248,Victor Harbor,75%,AU,2019-07-11,76%,-35.55°,138.62°,57.2°F,17.22 mph
249,Valera,94%,VE,2019-07-11,68%,9.31°,-70.61°,82.31°F,3.42 mph
250,Auki,88%,NG,2019-07-11,80%,12.18°,6.51°,74.03°F,15.26 mph
251,Nouadhibou,13%,MR,2019-07-11,77%,20.93°,-17.03°,69.8°F,16.11 mph
252,Putina,0%,PE,2019-07-11,15%,-14.91°,-69.87°,57.2°F,10.29 mph
253,Faya,20%,SA,2019-07-11,49%,18.39°,42.45°,73.4°F,4.7 mph
254,Mvuma,0%,ZW,2019-07-11,40%,-19.28°,30.53°,49.55°F,5.28 mph
255,Eureka,1%,US,2019-07-11,77%,40.8°,-124.16°,68.0°F,16.11 mph
256,Qostanay,0%,KZ,2019-07-11,72%,53.17°,63.58°,64.4°F,7.36 mph
257,Paulista,86%,BR,2019-07-11,71%,-6.6°,-37.62°,74.75°F,4.36 mph
258,Hervey Bay,0%,AU,2019-07-11,62%,-25.3°,152.85°,73.0°F,6.93 mph
259,Torbay,90%,CA,2019-07-11,100%,47.66°,-52.73°,48.0°F,9.17 mph
260,Skibbereen,75%,IE,2019-07-11,82%,51.55°,-9.27°,60.8°F,4.7 mph
261,Llanes,0%,ES,2019-07-11,10%,43.42°,-4.75°,72.0°F,1.54 mph
262,Dire,75%,ET,2019-07-11,87%,9.18°,38.92°,55.4°F,11.41 mph
263,Dogondoutchi,82%,NE,2019-07-11,60%,13.64°,4.03°,84.83°F,18.88 mph
264,Puksoozero,40%,RU,2019-07-11,98%,62.59°,40.61°,35.69°F,5.08 mph
265,Ketchikan,90%,US,2019-07-11,93%,55.34°,-131.65°,62.6°F,14.99 mph
266,Hamilton,75%,CA,2019-07-11,61%,43.26°,-79.87°,80.6°F,12.75 mph
267,Karimganj,100%,IN,2019-07-11,97%,24.86°,92.37°,75.65°F,5.91 mph
268,Faanui,1%,PF,2019-07-11,69%,-16.48°,-151.75°,78.17°F,7.29 mph
269,New Norfolk,75%,AU,2019-07-11,70%,-42.78°,147.06°,46.4°F,14.99 mph
270,Kavieng,100%,PG,2019-07-11,79%,-2.57°,150.8°,82.13°F,17.49 mph
271,Ancud,75%,CL,2019-07-11,100%,-41.87°,-73.83°,46.4°F,9.17 mph
272,Khonsa,100%,IN,2019-07-11,98%,26.99°,95.51°,68.81°F,2.33 mph
273,Miri,74%,NG,2019-07-11,94%,10.31°,9.75°,69.35°F,4.38 mph
274,Maceio,75%,BR,2019-07-11,88%,-9.67°,-35.74°,73.4°F,2.24 mph
275,Berberati,99%,CF,2019-07-11,98%,4.26°,15.79°,66.11°F,3.02 mph
276,Lubao,36%,CD,2019-07-11,39%,-5.39°,25.75°,71.69°F,3.47 mph
277,Calabozo,11%,VE,2019-07-11,84%,8.92°,-67.43°,76.01°F,2.01 mph
278,Mazyr,18%,BY,2019-07-11,97%,52.05°,29.27°,51.53°F,6.26 mph
279,Castro,75%,CL,2019-07-11,100%,-42.48°,-73.76°,46.4°F,9.17 mph
280,Winona,40%,CA,2019-07-11,65%,43.21°,-79.65°,80.01°F,10.29 mph
281,Shu,81%,KZ,2019-07-11,31%,43.6°,73.76°,72.77°F,2.26 mph
282,Jian,100%,IN,2019-07-11,83%,25.65°,87.89°,81.41°F,2.66 mph
283,Tilichiki,93%,RU,2019-07-11,80%,60.47°,166.1°,54.95°F,6.49 mph
284,Sao Gabriel da Cachoeira,27%,BR,2019-07-11,88%,-0.13°,-67.09°,73.13°F,1.23 mph
285,Swellendam,30%,ZA,2019-07-11,87%,-34.02°,20.44°,57.2°F,6.93 mph
286,Lasa,0%,CY,2019-07-11,88%,34.92°,32.53°,80.6°F,3.36 mph
287,Lagoa,0%,PT,2019-07-11,88%,37.14°,-8.45°,71.01°F,4.7 mph
288,La Palma,93%,CO,2019-07-11,79%,5.36°,-74.39°,73.85°F,3.29 mph
289,Shingu,40%,JP,2019-07-11,94%,33.72°,135.99°,77.0°F,2.24 mph
